seed,source,k,operator,class,support,recall,d_recall,prediction_flip_rate,mean_l1_to_k1
1,M2,5,late_product,6,23,0.60869565217391308,-0.17391304347826086,0.17391304347826086,0.38854628801345825
1,M2,5,late_product,7,10,0.80000000000000004,-0.099999999999999978,0.10000000000000001,0.2122589647769928
1,M2,5,late_product,8,32,0.65625,0,0.15625,0.47076883912086487
1,M2,5,late_product,9,25,0.76000000000000001,0.19999999999999996,0.28000000000000003,0.56339406967163086
1,M2,5,late_product,10,49,0.65306122448979587,0.040816326530612179,0.16326530612244897,0.45528000593185425
1,M2,5,late_product,11,27,0.37037037037037035,-0.037037037037037035,0.14814814814814814,0.50600171089172363
1,M2,100,late_product,0,496,0.7963709677419355,-0.18548387096774188,0.19959677419354838,0.39682117104530334
1,M2,100,late_product,1,471,0.91082802547770703,-0.072186836518046693,0.093418259023354558,0.19707697629928589
1,M2,100,late_product,2,420,0.85952380952380958,-0.092857142857142749,0.11666666666666667,0.25542080402374268
1,M2,100,late_product,3,508,0.83267716535433067,-0.061023622047244097,0.17322834645669291,0.39694669842720032
1,M2,100,late_product,4,556,0.75,-0.17446043165467628,0.19964028776978418,0.42768898606300354
1,M2,100,late_product,5,545,0.61834862385321099,-0.35045871559633035,0.37614678899082571,0.75259828567504883
1,M2,100,late_product,6,23,0.43478260869565216,-0.34782608695652178,0.39130434782608697,0.79819571971893311
1,M2,100,late_product,7,10,0.59999999999999998,-0.30000000000000004,0.29999999999999999,0.54391968250274658
1,M2,100,late_product,8,32,0.53125,-0.125,0.28125,0.71465319395065308
1,M2,100,late_product,9,25,0.76000000000000001,0.19999999999999996,0.32000000000000001,0.80101555585861206
1,M2,100,late_product,10,49,0.61224489795918369,0,0.22448979591836735,0.62131249904632568
1,M2,100,late_product,11,27,0.25925925925925924,-0.14814814814814814,0.33333333333333331,0.90468817949295044
1,M1,1,late_mean,0,496,0.9838709677419355,0,0,0
1,M1,1,late_mean,1,471,0.9426751592356688,0,0,0
1,M1,1,late_mean,2,420,0.95476190476190481,0,0,0
1,M1,1,late_mean,3,508,0.86220472440944884,0,0,0
1,M1,1,late_mean,4,556,0.91366906474820142,0,0,0
1,M1,1,late_mean,5,545,0.95779816513761473,0,0,0
1,M1,1,late_mean,6,23,0.78260869565217395,0,0,0
1,M1,1,late_mean,7,10,0.90000000000000002,0,0,0
1,M1,1,late_mean,8,32,0.53125,0,0,0
1,M1,1,late_mean,9,25,0.56000000000000005,0,0,0
1,M1,1,late_mean,10,49,0.53061224489795922,0,0,0
1,M1,1,late_mean,11,27,0.40740740740740738,0,0,0
1,M1,5,late_mean,0,496,0.97983870967741937,-0.0040322580645161255,0.016129032258064516,0.15939094126224518
1,M1,5,late_mean,1,471,0.88747346072186839,-0.055201698513800412,0.067940552016985137,0.1630546897649765
1,M1,5,late_mean,2,420,0.91666666666666663,-0.038095238095238182,0.042857142857142858,0.14618226885795593
1,M1,5,late_mean,3,508,0.73622047244094491,-0.12598425196850394,0.15748031496062992,0.26139786839485168
1,M1,5,late_mean,4,556,0.8920863309352518,-0.021582733812949617,0.064748201438848921,0.23432110249996185
1,M1,5,late_mean,5,545,0.95779816513761473,0,0.016513761467889909,0.28824165463447571
1,M1,5,late_mean,6,23,0.78260869565217395,0,0.086956521739130432,0.33983904123306274
1,M1,5,late_mean,7,10,0.90000000000000002,0,0,0.29142171144485474
1,M1,5,late_mean,8,32,0.625,0.09375,0.15625,0.26859813928604126
1,M1,5,late_mean,9,25,0.52000000000000002,-0.040000000000000036,0.080000000000000002,0.23440940678119659
1,M1,5,late_mean,10,49,0.44897959183673469,-0.081632653061224525,0.16326530612244897,0.29171368479728699
1,M1,5,late_mean,11,27,0.51851851851851849,0.1111111111111111,0.14814814814814814,0.28749644756317139
1,M1,100,late_mean,0,496,0.97782258064516125,-0.0060483870967742437,0.018145161290322582,0.23435214161872864
1,M1,100,late_mean,1,471,0.87898089171974525,-0.063694267515923553,0.076433121019108277,0.2397388219833374
1,M1,100,late_mean,2,420,0.919047619047619,-0.035714285714285809,0.054761904761904762,0.21493139863014221
1,M1,100,late_mean,3,508,0.71062992125984248,-0.15157480314960636,0.18307086614173229,0.38433247804641724
